fund_name,name_th,amc_short_name
ASP-LEGACY-UI,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-MRF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-NGF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-OIL,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-POWER,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-POWERRMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-PRE-UI-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-PRE-UI-D,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-PRIME4,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-PROPIN-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-PROPIN-R,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-ROBOT,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-ROBOTRMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-S&P500,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-SC-UI-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-SC-UI-D,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-SC-UI-R,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-SME-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-SMERMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-SME-SSF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-T12,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-ThaiESG,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-THEQ,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-TOPBRAND,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-TOPBRANDRMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-USSMALL,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-VIET,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-VIETRMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-X,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
B25RMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ACTIVE,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ASEAN,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ASEANRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ASIA,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ASIARMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ASIASSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BBASIC,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BBASICRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-BHARATA,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BCAP-2030 RMF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-2040 RMF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-2050 RMF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-CLEAN,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-CTECH,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-DISRUPT,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GE,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GFIA,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GFIO,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GOLD,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GPROP,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GTAC,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW10,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW10 SSF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW25,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW25 SSF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW50,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW50 SSF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW75,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW75 SSF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW90,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-GW90 SSF,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-MFIX,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-SET,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-TEQ,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-TFACTOR,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-USL,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-USND100,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCAP-XHEALTH,บริษัทหลักทรัพย์จัดการกองทุน บางกอกแคปปิตอล จำกัด,BCAP
BCARE,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BCARERMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BCARESSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-CHINAARMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-CHINE-EQ,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-CHINESSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-DYNAMIC BOND,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-DYNAMICRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-DYNAMICSSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-ENHANCED,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BEQSSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BERMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-FINTECH,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BFIXED,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-FLEX,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BFLRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BFRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-FUTURE,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-FUTURERMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-FUTURESSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GLOBAL,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GLOBALRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GLOB-INFRA,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GLOB-INFRARMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GLOB-INFRASSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BGOLD,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BGOLDRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GTO,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GTORMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-GTOSSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-HY (H75) AI,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BIC,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ไทย) จำกัด,UOBAM
B-INCOME,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-INCOMESSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-INDIAMRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-INFRA,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-INNOTECH,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-INNOTECHRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-INNOTECHSSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-IR-FOF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
B-IR-FOFRMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BKA,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BKA2,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BKD,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BKIND,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BM70SSF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BMAPS100,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BMAPS100RMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BMAPS25,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BMAPS25RMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BMAPS55,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
BMAPS55RMF,บริษัทหลักทรัพย์จัดการกองทุนรวม บัวหลวง จำกัด,BBLAM
